대표상품코드,상품코드,총상품가격,프로모션 명,시작일,종료일
MAT1058,ATP3042605207CA,989900,하포데이,2026-05-01,2026-07-01
MAT1058,ATP3042605207CP,829900,노동선/+3컴,2026-05-01,2026-07-01
MAT1058,ATP304260520BXP,829900 ,도리토스,2026-05-01,2026-07-01
MAT1058,ATP304260520CI5,1129900 ,골리앗,2026-05-01,2026-07-01
MAT1058,ATP304260520CIA,1231900 ,배틀크루저,2026-05-01,2026-07-01
MAT1058,ATP304260520CIP,1039900 ,저글링,2026-05-01,2026-07-01
MAT1058,ATP304260520KEA,1131900 ,곤잘레스,2026-05-01,2026-07-01
MAT1058,ATP304260520KEP,999900 ,골든타임,2026-05-01,2026-07-01
MAT1058,ATP324260520LJP,1079900 ,얼리버드,2026-05-01,2026-07-01
MAT1058,ATP614260520TWP,849900 ,가정의날,2026-05-01,2026-07-01
MAT1058,ATP904260520TWP,989900 ,갓오브워,2026-05-01,2026-07-01
